seller_state,seller_state_name
AC,Acre
AM,Amapà
BA,Bahia
CE,Cearà
DF,Distretto Federale
ES,Spirito Santo
GO,Goiàs
MA,Maranhao
MG,Minas Gerais
MS,Mato Grosso del Sud
MT,Mato Grosso
PA,Parà
PB,Paraiba
PE,Pernambuco
PI,Piauì
PR,Paranà
RJ,Rio de Janeiro
RN,Rio Grande del Nord
RO,Rondonia
RS,Rio Grande del Sud
SC,Santa Caterina
SE,Sergipe
SP,San Paolo
