localita,dt,type,value
Arezzo,2012-03-22,min,6
Arezzo,2012-03-22,max,23
Arezzo,2012-03-23,min,6
Arezzo,2012-03-23,max,21
Arezzo,2012-03-24,min,7
Arezzo,2012-03-24,max,22
Arezzo,2012-03-25,min,6
Arezzo,2012-03-25,max,23
Arezzo,2012-03-26,min,6
Arezzo,2012-03-26,max,23
Arezzo,2012-03-27,min,5
Arezzo,2012-03-27,max,23
Arezzo,2012-03-28,min,5
Arezzo,2012-03-28,max,26
Arezzo,2012-03-29,min,7
Arezzo,2012-03-29,max,24
Arezzo,2012-03-30,min,7
Arezzo,2012-03-30,max,22
Arezzo,2012-03-31,min,6
Arezzo,2012-03-31,max,23
Arezzo,2012-04-01,min,8
Arezzo,2012-04-01,max,22
Arezzo,2012-04-02,min,6
Arezzo,2012-04-02,max,21
Arezzo,2012-04-03,min,11
Arezzo,2012-04-03,max,18
Arezzo,2012-04-04,min,9
Arezzo,2012-04-04,max,23
Arezzo,2012-04-05,min,11
Arezzo,2012-04-05,max,20
Arezzo,2012-04-06,min,10
Arezzo,2012-04-06,max,19
Arezzo,2012-04-07,min,10
Arezzo,2012-04-07,max,19
Arezzo,2012-04-08,min,6
Arezzo,2012-04-08,max,17
Arezzo,2012-04-09,min,4
Arezzo,2012-04-09,max,16
Arezzo,2012-04-10,min,3
Arezzo,2012-04-10,max,18
Arezzo,2012-04-11,min,9
Arezzo,2012-04-11,max,15
Arezzo,2012-04-12,min,8
Arezzo,2012-04-12,max,19
Arezzo,2012-04-13,min,8
Arezzo,2012-04-13,max,16
Arezzo,2012-04-14,min,9
Arezzo,2012-04-14,max,12
Arezzo,2012-04-15,min,8
Arezzo,2012-04-15,max,17
Arezzo,2012-04-16,min,7
Arezzo,2012-04-16,max,15
Arezzo,2012-04-17,min,8
Arezzo,2012-04-17,max,19
Arezzo,2012-04-18,min,6
Arezzo,2012-04-18,max,17
Arezzo,2012-04-19,min,7
Arezzo,2012-04-19,max,16
Arezzo,2012-04-20,min,8
Arezzo,2012-04-20,max,15
Arezzo,2012-04-21,min,8
Arezzo,2012-04-21,max,20
Arezzo,2012-04-22,min,8
Arezzo,2012-04-22,max,19
Arezzo,2012-04-23,min,9
Arezzo,2012-04-23,max,19
Arezzo,2012-04-24,min,9
Arezzo,2012-04-24,max,15
Arezzo,2012-04-25,min,7
Arezzo,2012-04-25,max,20
Arezzo,2012-04-26,min,5
Arezzo,2012-04-26,max,23
Arezzo,2012-04-27,min,7
Arezzo,2012-04-27,max,27
Arezzo,2012-04-28,min,12
Arezzo,2012-04-28,max,29
Arezzo,2012-04-29,min,14
Arezzo,2012-04-29,max,22
Arezzo,2012-04-30,min,13
Arezzo,2012-04-30,max,22
Arezzo,2012-05-01,min,13
Arezzo,2012-05-01,max,23
Arezzo,2012-05-02,min,9
Arezzo,2012-05-02,max,23
Arezzo,2012-05-03,min,8
Arezzo,2012-05-03,max,22
Arezzo,2012-05-04,min,6
Arezzo,2012-05-04,max,23
Arezzo,2012-05-05,min,7
Arezzo,2012-05-05,max,23
Arezzo,2012-05-06,min,11
Arezzo,2012-05-06,max,18
Arezzo,2012-05-07,min,12
Arezzo,2012-05-07,max,22
Arezzo,2012-05-08,min,8
Arezzo,2012-05-08,max,23
Arezzo,2012-05-09,min,11
Arezzo,2012-05-09,max,24
Arezzo,2012-05-10,min,9
Arezzo,2012-05-10,max,29
Arezzo,2012-05-11,min,13
Arezzo,2012-05-11,max,31
Arezzo,2012-05-12,min,13
Arezzo,2012-05-12,max,29
Arezzo,2012-05-13,min,11
Arezzo,2012-05-13,max,23
Arezzo,2012-05-14,min,8
Arezzo,2012-05-14,max,20
Arezzo,2012-05-15,min,8
Arezzo,2012-05-15,max,22
Arezzo,2012-05-16,min,9
Arezzo,2012-05-16,max,19
Arezzo,2012-05-17,min,6
Arezzo,2012-05-17,max,20
Arezzo,2012-05-18,min,4
Arezzo,2012-05-18,max,21
Arezzo,2012-05-19,min,10
Arezzo,2012-05-19,max,23
Arezzo,2012-05-20,min,12
Arezzo,2012-05-20,max,17
Arezzo,2012-05-21,min,13
Arezzo,2012-05-21,max,18
Arezzo,2012-05-22,min,11
Arezzo,2012-05-22,max,21
Arezzo,2012-05-23,min,12
Arezzo,2012-05-23,max,23
Arezzo,2012-05-24,min,14
Arezzo,2012-05-24,max,28
Arezzo,2012-05-25,min,16
Arezzo,2012-05-25,max,26
Arezzo,2012-05-26,min,13
Arezzo,2012-05-26,max,24
Arezzo,2012-05-27,min,11
Arezzo,2012-05-27,max,25
Arezzo,2012-05-28,min,14
Arezzo,2012-05-28,max,20
Arezzo,2012-05-29,min,13
Arezzo,2012-05-29,max,25
Arezzo,2012-05-30,min,12
Arezzo,2012-05-30,max,26
Arezzo,2012-05-31,min,13
Arezzo,2012-05-31,max,27
Arezzo,2012-06-01,min,14
Arezzo,2012-06-01,max,26
Arezzo,2012-06-02,min,14
Arezzo,2012-06-02,max,29
Arezzo,2012-06-03,min,14
Arezzo,2012-06-03,max,29
Arezzo,2012-06-04,min,16
Arezzo,2012-06-04,max,23
Arezzo,2012-06-05,min,12
Arezzo,2012-06-05,max,28
Arezzo,2012-06-06,min,12
Arezzo,2012-06-06,max,28
Arezzo,2012-06-07,min,14
Arezzo,2012-06-07,max,29
