localita,dt,type,value
Andria,2012-04-02,max,19
Andria,2012-04-03,min,11
Andria,2012-04-03,max,21
Andria,2012-04-04,min,13
Andria,2012-04-04,max,21
Andria,2012-04-05,min,13
Andria,2012-04-05,max,19
Andria,2012-04-06,min,10
Andria,2012-04-06,max,21
Andria,2012-04-07,min,12
Andria,2012-04-07,max,16
Andria,2012-04-08,min,9
Andria,2012-04-08,max,15
Andria,2012-04-09,min,7
Andria,2012-04-09,max,13
Andria,2012-04-10,min,4
Andria,2012-04-10,max,16
Andria,2012-04-11,min,8
Andria,2012-04-11,max,17
Andria,2012-04-12,min,8
Andria,2012-04-12,max,19
Andria,2012-04-13,min,9
Andria,2012-04-13,max,14
Andria,2012-04-14,min,11
Andria,2012-04-14,max,15
Andria,2012-04-15,min,10
Andria,2012-04-15,max,18
Andria,2012-04-16,min,10
Andria,2012-04-16,max,14
Andria,2012-04-17,min,10
Andria,2012-04-17,max,14
Andria,2012-04-18,min,7
Andria,2012-04-18,max,17
Andria,2012-04-19,min,9
Andria,2012-04-19,max,18
Andria,2012-04-20,min,9
Andria,2012-04-20,max,17
Andria,2012-04-21,min,10
Andria,2012-04-21,max,18
Andria,2012-04-22,min,11
Andria,2012-04-22,max,21
Andria,2012-04-23,min,10
Andria,2012-04-23,max,21
Andria,2012-04-24,min,10
Andria,2012-04-24,max,21
Andria,2012-04-25,min,11
Andria,2012-04-25,max,19
Andria,2012-04-26,min,8
Andria,2012-04-26,max,19
Andria,2012-04-27,min,10
Andria,2012-04-27,max,24
Andria,2012-04-28,min,13
Andria,2012-04-28,max,25
Andria,2012-04-29,min,13
Andria,2012-04-29,max,27
Andria,2012-04-30,min,14
Andria,2012-04-30,max,24
Andria,2012-05-01,min,12
Andria,2012-05-01,max,26
Andria,2012-05-02,min,13
Andria,2012-05-02,max,26
Andria,2012-05-03,min,12
Andria,2012-05-03,max,23
Andria,2012-05-04,min,12
Andria,2012-05-04,max,23
Andria,2012-05-05,min,12
Andria,2012-05-05,max,25
Andria,2012-05-06,min,13
Andria,2012-05-06,max,24
